ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
31446_00000_353360,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.","LeBon, Barton S.",skipped,skipped
31446_00000_354771,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Nash, Kelly","LeBon, Barton S.",skipped,skipped
31446_00000_355893,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
31446_00000_356404,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.","Nash, Kelly",skipped,skipped
31446_00000_359046,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.",skipped,skipped,skipped
31446_00000_360189,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.","Dibert, Maxine L.","Nash, Kelly",skipped
31446_00000_361598,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Nash, Kelly","LeBon, Barton S.",skipped,skipped
31446_00000_362956,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.","LeBon, Barton S.","Nash, Kelly",skipped
31446_00000_363773,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.","LeBon, Barton S.",skipped,skipped
31446_00000_364637,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Nash, Kelly","LeBon, Barton S.",skipped,skipped
31446_00000_365790,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Nash, Kelly","Dibert, Maxine L.","LeBon, Barton S.",skipped
31446_00000_367065,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.","Dibert, Maxine L.","Nash, Kelly",skipped
31446_00000_368237,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.",skipped,skipped,skipped
31446_00000_369443,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.","Nash, Kelly","LeBon, Barton S.",skipped
31446_00000_370036,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.","Nash, Kelly","Dibert, Maxine L.",skipped
31446_00000_372803,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Nash, Kelly","LeBon, Barton S.",skipped,skipped
31446_00000_373250,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.","Dibert, Maxine L.",skipped,skipped
