Precinct,rank1,rank2,rank3
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,skipped
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Becky Alper,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,AK Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,AK Hassan
