,0,1,2,3,4,5,6,7,8,9,10,11,12
1,Write-In cells: 162,,,,,,,,,,,,
2,Overvote cells: 371,,,,,,,,,,,,
3,Bill Perkins: 0,,,,,,,,,,,,
4,William A. Allen: 1,,,,,,,,,,,,
5,Bernadette McNear: 2,,,,,,,,,,,,
6,Keith Taylor: 3,,,,,,,,,,,,
7,Athena Moore: 4,,,,,,,,,,,,
8,Billy Council: 5,,,,,,,,,,,,
9,Pierre A. Gooding: 6,,,,,,,,,,,,
10,Cordell Cleare: 7,,,,,,,,,,,,
11,Kristin Richardson Jordan: 8,,,,,,,,,,,,
12,Sheba T. Simpson-Amsterdam: 9,,,,,,,,,,,,
13,Ruth L. McDaniels: 10,,,,,,,,,,,,
14,Joshua Albert Clennon: 11,,,,,,,,,,,,
15,Mario Rosser: 12,,,,,,,,,,,,
18719,3,,,,,,,,,,,,
18720,3,,,,,,,,,,,,
18729,5,0.0,3.0,2.0,1.0,,,,,,,,
18730,3,,,,,,,,,,,,
18731,4,0.0,8.0,10.0,6.0,,,,,,,,
18732,5,0.0,,,,,,,,,,,
18733,0,3.0,,,,,,,,,,,
18734,4,10.0,9.0,8.0,12.0,,,,,,,,
18735,6,0.0,3.0,,,,,,,,,,
18736,4,10.0,9.0,8.0,12.0,,,,,,,,
18737,4,10.0,0.0,11.0,6.0,,,,,,,,
18738,0,6.0,10.0,3.0,5.0,,,,,,,,
18739,1,0.0,9.0,,,,,,,,,,
18740,1,7.0,6.0,3.0,10.0,,,,,,,,
18741,0,10.0,,,,,,,,,,,
18742,7,0.0,1.0,,,,,,,,,,
18743,5,9.0,11.0,0.0,3.0,,,,,,,,
18762,11,6.0,,,,,,,,,,,
18763,8,,,,,,,,,,,,
18764,3,8.0,2.0,1.0,4.0,,,,,,,,
18765,4,3.0,7.0,12.0,1.0,,,,,,,,
