,0,1,2,3,4,5,6
1,Write-In cells: 294,,,,,,
2,Overvote cells: 131,,,,,,
3,Rebecca N. Lamorte: 0,,,,,,
4,Julie Menin: 1,,,,,,
5,Tricia M. Shimamura: 2,,,,,,
6,Marco A. Tamayo: 3,,,,,,
7,Billy Freeland: 4,,,,,,
8,Kim Moscaritolo: 5,,,,,,
9,Christopher  A. Sosa: 6,,,,,,
26059,1,4.0,,,,,
26061,1,,,,,,
26062,5,2.0,,,,,
26063,0,5.0,1.0,2.0,3.0,,
26064,6,2.0,0.0,5.0,1.0,,
26065,0,6.0,,,,,
26066,1,,,,,,
26067,2,,,,,,
26069,1,6.0,5.0,2.0,4.0,,
26070,1,,,,,,
26071,0,4.0,2.0,1.0,5.0,,
26072,1,,,,,,
26073,2,,,,,,
26075,3,,,,,,
26076,1,3.0,5.0,0.0,2.0,,
26077,2,,,,,,
26078,1,2.0,0.0,,,,
26079,1,4.0,,,,,
26081,1,,,,,,
26082,1,5.0,6.0,,,,
26083,1,5.0,6.0,2.0,,,
26084,1,2.0,0.0,4.0,,,
26085,4,1.0,2.0,,,,
26086,4,1.0,2.0,0.0,,,
26087,1,,,,,,
26088,1,0.0,,,,,
26089,1,3.0,4.0,,,,
26090,1,4.0,,,,,
26091,0,2.0,4.0,6.0,5.0,,
26092,5,0.0,,,,,
26093,1,,,,,,
26094,1,2.0,4.0,5.0,0.0,,
26095,0,1.0,2.0,5.0,,,
26096,4,,,,,,
26097,1,,,,,,
26098,5,1.0,,,,,
26100,1,2.0,5.0,6.0,0.0,,
26101,1,,,,,,
26103,2,5.0,,,,,
26105,4,1.0,2.0,0.0,6.0,,
26107,1,4.0,,,,,
26108,1,5.0,4.0,2.0,,,
26109,1,5.0,2.0,6.0,,,
26110,2,1.0,,,,,
26111,1,5.0,,,,,
26112,4,0.0,5.0,1.0,,,
26113,2,,,,,,
26114,6,5.0,2.0,4.0,0.0,,
26115,0,2.0,1.0,,,,
26116,2,6.0,4.0,5.0,1.0,,
26117,5,2.0,,,,,
26118,4,1.0,3.0,2.0,,,
26119,1,2.0,,,,,
26120,2,4.0,1.0,,,,
26121,1,2.0,5.0,4.0,6.0,,
26122,5,,,,,,
26123,5,,,,,,
26124,4,,,,,,
