,0,1,2,3,4,5,6
1,Write-In cells: 251,,,,,,
2,Overvote cells: 188,,,,,,
3,Linda Lee: 0,,,,,,
4,Steve Behar: 1,,,,,,
5,Debra Markell: 2,,,,,,
6,Sanjeev Kumar Jindal: 3,,,,,,
7,Harpreet S. Toor: 4,,,,,,
8,Jaslin Kaur: 5,,,,,,
9,Koshy O. Thomas: 6,,,,,,
9308,0,,,,,,
9309,1,0.0,2.0,5.0,,,
9310,1,0.0,2.0,5.0,,,
9311,0,5.0,,,,,
9349,3,,,,,,
9351,1,,,,,,
9352,1,,,,,,
9354,1,2.0,6.0,4.0,0.0,,
9356,1,5.0,,,,,
9359,5,0.0,1.0,3.0,2.0,,
9362,0,2.0,,,,,
9365,5,,,,,,
9367,0,2.0,,,,,
9369,0,5.0,2.0,3.0,4.0,,
9371,0,,,,,,
9372,2,1.0,0.0,,,,
9374,0,1.0,,,,,
9377,0,2.0,5.0,6.0,1.0,,
9379,0,1.0,,,,,
9382,1,2.0,0.0,,,,
9383,1,2.0,0.0,,,,
9386,1,2.0,,,,,
9387,0,,,,,,
9389,1,2.0,,,,,
9391,0,6.0,,,,,
9393,0,5.0,1.0,6.0,4.0,,
9395,0,1.0,5.0,6.0,4.0,,
9397,2,3.0,,,,,
9399,2,3.0,0.0,4.0,,,
9401,0,,,,,,
9402,1,0.0,5.0,,,,
9403,1,3.0,2.0,,,,
9601,2,0.0,,,,,
9603,0,2.0,5.0,1.0,,,
9606,4,5.0,3.0,,,,
9610,2,5.0,0.0,,,,
9612,0,,,,,,
9615,5,3.0,4.0,,,,
9616,3,5.0,0.0,2.0,4.0,,
9618,5,3.0,,,,,
9620,2,0.0,3.0,,,,
9622,2,0.0,6.0,,,,
9624,3,5.0,6.0,4.0,1.0,,
9626,3,,,,,,
9627,5,2.0,,,,,
9629,3,,,,,,
9631,0,5.0,2.0,1.0,4.0,,
9633,5,2.0,1.0,0.0,,,
9635,3,,,,,,
9637,3,,,,,,
