,0,1,2,3,4,5
1,Write-In cells: 203,,,,,
2,Overvote cells: 365,,,,,
3,Pierina Ana Sanchez: 0,,,,,
4,Yudelka Tapia: 1,,,,,
5,Haile Rivera: 2,,,,,
6,Fernando A. Aquino: 3,,,,,
7,Adolfo Abreu: 4,,,,,
8,Socrates S. Solano: 5,,,,,
12287,5,3.0,,,,
12289,4,3.0,0.0,2.0,1.0,
13109,2,1.0,0.0,5.0,,
13111,2,1.0,4.0,0.0,3.0,
13113,4,0.0,1.0,3.0,,
13115,0,4.0,1.0,3.0,5.0,
13117,2,1.0,5.0,0.0,3.0,
13119,2,1.0,,,,
13121,4,3.0,1.0,0.0,2.0,
13127,3,4.0,0.0,5.0,2.0,
13129,4,1.0,3.0,0.0,2.0,
13131,1,4.0,0.0,3.0,5.0,
13133,5,1.0,0.0,,,
13471,4,1.0,2.0,0.0,5.0,
13476,4,2.0,,,,
13477,2,,,,,
13480,1,,,,,
13482,1,4.0,3.0,,,
13483,5,0.0,3.0,2.0,1.0,
13486,2,1.0,0.0,4.0,5.0,
13488,1,3.0,,,,
13490,1,,,,,
13492,1,3.0,,,,
13542,0,1.0,,,,
13546,0,2.0,3.0,,,
13548,0,5.0,4.0,1.0,2.0,
13795,0,,,,,
13797,0,1.0,,,,
13799,0,1.0,4.0,5.0,3.0,
13801,3,,,,,
13803,4,3.0,5.0,2.0,1.0,
13805,3,0.0,2.0,1.0,4.0,
13807,1,0.0,,,,
13809,3,0.0,2.0,1.0,4.0,
13811,3,0.0,2.0,1.0,4.0,
13813,3,4.0,5.0,2.0,,
13817,3,,,,,
13819,1,,,,,
13821,0,,,,,
13823,0,3.0,4.0,5.0,1.0,
13825,0,3.0,4.0,5.0,1.0,
13827,3,2.0,5.0,0.0,4.0,
13829,1,5.0,3.0,2.0,4.0,
13831,0,,,,,
13833,1,4.0,3.0,0.0,,
13835,2,0.0,,,,
14441,1,3.0,,,,
14445,0,,,,,
14446,0,,,,,
14447,0,,,,,
14449,2,,,,,
14453,0,,,,,
14455,0,,,,,
14544,1,0.0,4.0,5.0,3.0,
14547,1,2.0,5.0,4.0,3.0,
14548,0,1.0,,,,
14550,3,1.0,0.0,2.0,4.0,
14552,2,0.0,3.0,1.0,5.0,
14555,0,1.0,,,,
14557,4,0.0,3.0,2.0,1.0,
14559,4,,,,,
14562,0,1.0,,,,
14564,1,4.0,2.0,0.0,,
14797,0,3.0,,,,
14800,1,0.0,5.0,3.0,2.0,
14801,0,1.0,5.0,,,
14803,0,4.0,1.0,,,
14806,0,1.0,,,,
14808,0,3.0,,,,
14810,4,0.0,,,,
14811,3,5.0,0.0,4.0,2.0,
14900,4,3.0,5.0,0.0,1.0,
14902,0,1.0,,,,
14904,3,0.0,1.0,,,
14906,0,2.0,1.0,5.0,3.0,
14908,0,3.0,1.0,4.0,2.0,
14910,4,2.0,0.0,1.0,,
14912,1,,,,,
14914,0,1.0,,,,
14916,2,1.0,0.0,5.0,,
14919,0,4.0,2.0,5.0,3.0,
14927,3,,,,,
14929,1,3.0,,,,
14974,2,3.0,1.0,4.0,5.0,
14976,1,0.0,3.0,5.0,,
14978,1,3.0,0.0,,,
14980,4,0.0,1.0,2.0,3.0,
14981,2,3.0,4.0,5.0,1.0,
14983,3,0.0,4.0,,,
14986,1,,,,,
14987,0,4.0,,,,
14989,0,4.0,,,,
14992,5,2.0,4.0,0.0,3.0,
14993,4,2.0,0.0,3.0,1.0,
14996,4,3.0,1.0,0.0,5.0,
15058,0,5.0,3.0,4.0,1.0,
15060,0,1.0,4.0,3.0,2.0,
15064,2,,,,,
15066,4,,,,,
15068,0,4.0,1.0,,,
15069,0,,,,,
15072,0,,,,,
15075,3,4.0,0.0,2.0,5.0,
15076,0,3.0,2.0,5.0,4.0,
15078,0,1.0,4.0,5.0,2.0,
15080,4,5.0,1.0,2.0,0.0,
15082,0,,,,,
15085,0,3.0,4.0,5.0,,
15086,0,4.0,,,,
15089,0,,,,,
15090,0,4.0,5.0,1.0,,
15093,1,4.0,5.0,3.0,0.0,
15094,0,,,,,
15505,0,,,,,
15507,0,3.0,2.0,1.0,4.0,
15509,0,,,,,
15511,0,2.0,4.0,1.0,3.0,
15513,5,1.0,,,,
15515,0,,,,,
15516,1,0.0,2.0,4.0,3.0,
15518,0,2.0,5.0,3.0,4.0,
15520,0,1.0,3.0,,,
15522,0,,,,,
15524,2,1.0,4.0,3.0,0.0,
15526,2,0.0,4.0,5.0,3.0,
15531,4,,,,,
15533,5,0.0,,,,
15535,0,1.0,4.0,5.0,3.0,
15538,0,3.0,1.0,4.0,5.0,
15540,0,2.0,5.0,3.0,4.0,
15542,0,,,,,
15544,1,4.0,0.0,,,
15546,4,0.0,,,,
