,0,1,2,3,4,5,6,7,8,9,10,11
1,Write-In cells: 254,,,,,,,,,,,
2,Overvote cells: 231,,,,,,,,,,,
3,Luis Tejada: 0,,,,,,,,,,,
4,Carmen R. Quinones: 1,,,,,,,,,,,
5,Stacy R. Lynch: 2,,,,,,,,,,,
6,Keith L. Harris: 3,,,,,,,,,,,
7,Maria Ordonez: 4,,,,,,,,,,,
8,Daniel M. Cohen: 5,,,,,,,,,,,
9,Raymond Sanchez Jr.: 6,,,,,,,,,,,
10,Miguel Estrella: 7,,,,,,,,,,,
11,Corey Ortega: 8,,,,,,,,,,,
12,Shaun Abreu: 9,,,,,,,,,,,
13,Lena Melendez: 10,,,,,,,,,,,
14,Marti Gould  Allen-Cummings: 11,,,,,,,,,,,
16896,8,7.0,9.0,4.0,10.0,,,,,,,
16897,8,7.0,9.0,4.0,0.0,,,,,,,
16899,2,4.0,9.0,,,,,,,,,
16900,0,,,,,,,,,,,
16901,0,,,,,,,,,,,
16902,0,,,,,,,,,,,
16903,8,2.0,4.0,11.0,5.0,,,,,,,
16904,3,,,,,,,,,,,
16905,5,9.0,4.0,2.0,8.0,,,,,,,
16907,11,5.0,2.0,4.0,8.0,,,,,,,
16908,4,11.0,5.0,2.0,8.0,,,,,,,
16909,2,11.0,9.0,4.0,5.0,,,,,,,
16910,2,4.0,9.0,5.0,,,,,,,,
16911,5,9.0,4.0,2.0,8.0,,,,,,,
16912,4,5.0,9.0,8.0,10.0,,,,,,,
16913,2,9.0,0.0,4.0,3.0,,,,,,,
16914,10,5.0,,,,,,,,,,
16915,3,11.0,5.0,,,,,,,,,
16916,11,9.0,,,,,,,,,,
16917,2,9.0,11.0,4.0,,,,,,,,
16918,5,8.0,2.0,4.0,11.0,,,,,,,
16920,1,10.0,8.0,0.0,7.0,,,,,,,
16921,11,,,,,,,,,,,
16922,2,11.0,9.0,4.0,5.0,,,,,,,
16923,11,4.0,8.0,6.0,9.0,,,,,,,
16924,11,,,,,,,,,,,
16925,2,4.0,,,,,,,,,,
16928,5,11.0,4.0,9.0,,,,,,,,
16930,9,,,,,,,,,,,
16931,10,,,,,,,,,,,
16932,5,9.0,2.0,,,,,,,,,
16933,9,,,,,,,,,,,
16934,4,1.0,0.0,8.0,7.0,,,,,,,
16935,9,2.0,11.0,5.0,1.0,,,,,,,
16937,9,2.0,11.0,5.0,,,,,,,,
16938,5,,,,,,,,,,,
16939,8,6.0,5.0,0.0,,,,,,,,
16940,2,9.0,8.0,6.0,11.0,,,,,,,
16941,8,11.0,5.0,10.0,4.0,,,,,,,
16943,5,9.0,,,,,,,,,,
16944,2,9.0,8.0,6.0,11.0,,,,,,,
16945,11,5.0,2.0,4.0,8.0,,,,,,,
16947,9,11.0,2.0,3.0,4.0,,,,,,,
16948,8,5.0,9.0,4.0,6.0,,,,,,,
16950,5,9.0,,,,,,,,,,
16952,4,11.0,8.0,10.0,5.0,,,,,,,
16953,3,4.0,10.0,1.0,0.0,,,,,,,
16954,4,,,,,,,,,,,
16956,9,,,,,,,,,,,
16957,9,,,,,,,,,,,
16958,5,10.0,6.0,3.0,0.0,,,,,,,
16960,9,11.0,,,,,,,,,,
16961,9,5.0,,,,,,,,,,
16962,2,4.0,,,,,,,,,,
16963,9,5.0,,,,,,,,,,
16964,5,,,,,,,,,,,
16965,5,9.0,,,,,,,,,,
16966,5,2.0,4.0,9.0,,,,,,,,
16967,11,5.0,4.0,9.0,,,,,,,,
16968,8,9.0,,,,,,,,,,
16970,5,2.0,9.0,4.0,,,,,,,,
16971,2,4.0,,,,,,,,,,
16972,2,4.0,,,,,,,,,,
16973,9,1.0,6.0,7.0,8.0,,,,,,,
16974,9,5.0,,,,,,,,,,
16975,9,5.0,,,,,,,,,,
16976,5,9.0,,,,,,,,,,
16977,5,9.0,,,,,,,,,,
16978,5,9.0,,,,,,,,,,
16979,5,0.0,9.0,4.0,,,,,,,,
16980,2,11.0,9.0,8.0,4.0,,,,,,,
16981,5,3.0,11.0,,,,,,,,,
16982,0,9.0,,,,,,,,,,
16983,5,9.0,2.0,4.0,,,,,,,,
16985,9,5.0,8.0,,,,,,,,,
